competition_category,class_level,garden_code,garden_domain,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_reference
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word garden?,G,P,S,W,A,Garden begins with G.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word water?,G,W,L,R,B,Water begins with W.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word leaf?,S,P,L,G,C,Leaf begins with L.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word root?,L,W,S,R,D,Root begins with R.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word flower?,F,G,P,T,A,Flower begins with F.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which word begins with P?,Garden,Plant,Seed,Water,B,Plant begins with P.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which word begins with S?,Leaf,Root,Seed,Flower,C,Seed begins with S.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which word begins with W?,Plant,Garden,Leaf,Water,D,Water begins with W.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which two words begin with the same letter?,Garden and grow,Leaf and seed,Plant and water,Root and flower,A,Garden and grow both begin with G.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,How many leaves are in a group of two?,1,2,3,4,B,A group of two has 2 leaves.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,How many seedlings are in a group of four?,2,3,4,5,C,A group of four has 4 seedlings.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,One plant and one more plant make how many?,1,3,4,2,D,One plus one equals two.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Three seeds and one more seed make how many?,4,2,3,5,A,Three plus one equals four.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Five leaves with one removed leave how many?,3,4,5,6,B,Five minus one equals four.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Which group has more plants?,2 plants,1 plant,4 plants,0 plants,C,"Four is greater than two, one and zero.",foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Which number comes after 3?,2,3,5,4,D,Four comes after three.,foundation,GM-NUR-PROD-V1
