competition_category,class_level,garden_code,garden_domain,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_reference
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word apple?,A,B,C,D,A,Apple begins with A.,foundation,GM-NUR-B001
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word garden?,G,P,S,W,A,Garden begins with G.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word water?,W,G,L,R,A,Water begins with W.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word leaf?,L,S,P,G,A,Leaf begins with L.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word root?,R,L,W,S,A,Root begins with R.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which letter begins the word flower?,F,G,P,T,A,Flower begins with F.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which word begins with P?,Plant,Garden,Seed,Water,A,Plant begins with P.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which word begins with S?,Seed,Leaf,Root,Flower,A,Seed begins with S.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which word begins with W?,Water,Plant,Garden,Leaf,A,Water begins with W.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N01,Alphabet Garden,Which two words begin with the same letter?,Garden and grow,Leaf and seed,Plant and water,Root and flower,A,Garden and grow both begin with G.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,How many plants are in a group of three?,1,2,3,4,C,A group of three has 3 plants.,foundation,GM-NUR-B001
GM-NUR,Nursery 1,N02,Number Garden,How many leaves are in a group of two?,1,2,3,4,B,A group of two has 2 leaves.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,How many seedlings are in a group of four?,2,3,4,5,C,A group of four has 4 seedlings.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,One plant and one more plant make how many?,1,2,3,4,B,One plus one equals two.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Three seeds and one more seed make how many?,2,3,4,5,C,Three plus one equals four.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Five leaves with one removed leave how many?,3,4,5,6,B,Five minus one equals four.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Which group has more plants?,4 plants,2 plants,1 plant,0 plants,A,"Four is greater than two, one and zero.",foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Which number comes after 3?,2,3,4,5,C,Four comes after three.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Which number comes before 5?,3,4,5,6,B,Four comes before five.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N02,Number Garden,Two rows with two plants in each row have how many plants?,2,3,4,5,C,Two groups of two make four.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,Which shape is round like a circle bed?,Circle,Square,Triangle,Rectangle,A,A circle is round.,foundation,GM-NUR-B001
GM-NUR,Nursery 1,N03,Geometry Garden,Which shape is round?,Circle,Square,Triangle,Rectangle,A,A circle is round.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,Which shape has three sides?,Triangle,Circle,Square,Oval,A,A triangle has three sides.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,Which shape has four equal sides?,Square,Triangle,Circle,Oval,A,A square has four equal sides.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,Which shape looks like a long box?,Rectangle,Circle,Triangle,Oval,A,A rectangle can look like a long box.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,Which shape has no corners?,Circle,Square,Triangle,Rectangle,A,A circle has no corners.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,How many corners does a square have?,2,3,4,5,C,A square has four corners.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,How many sides does a triangle have?,2,3,4,5,B,A triangle has three sides.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,Which pair both have four sides?,Square and rectangle,Circle and triangle,Circle and oval,Triangle and circle,A,Squares and rectangles both have four sides.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N03,Geometry Garden,Which shape could make a round garden bed?,Circle,Triangle,Square only,Line,A,A circle forms a round bed.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,Which part of a plant is usually green and flat?,Leaf,Root,Stone,Pot,A,Leaves are commonly green and flat.,foundation,GM-NUR-B001
GM-NUR,Nursery 1,N04,Leaf Garden,Which plant part is usually flat and green?,Leaf,Root,Stone,Pot,A,A leaf is commonly flat and green.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,Which leaf is bigger?,The longer wider leaf,The smallest leaf,A stone,A stick,A,Length and width help us compare leaf size.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,What can we look at when comparing leaves?,Shape,Shoe size,Clock time,Desk number,A,Leaf shape is an observable feature.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,What may happen to a healthy young leaf as it grows?,It becomes larger,It becomes plastic,It becomes a stone,It disappears,A,Young leaves often increase in size.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,Which is a leaf colour we may observe?,Green,Transparent glass,Metal,Chalk,A,Green is a common leaf colour.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,What should we do before touching a leaf for observation?,Use gentle hands,Pull hard,Tear it,Step on it,A,Gentle handling protects the plant.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,Which observation describes a change?,The leaf became larger,The chair is blue,The bell rang,A book opened,A,A larger leaf is a change in the plant.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,What tool can help compare leaf length?,Ruler,Plate,Shoe,Cup,A,A ruler can measure leaf length.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N04,Leaf Garden,Two leaves have different edges. What are we comparing?,Leaf shape and edge,School uniform,Weather only,Desk height,A,Leaf edges are visible features for comparison.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,Which animal may visit flowers in the garden?,Butterfly,Fish,Goat,Lizard,A,Butterflies visit flowers for nectar.,foundation,GM-NUR-B001
GM-NUR,Nursery 1,N05,Butterfly Garden,Which animal often visits flowers?,Butterfly,Fish,Catfish,Goat,A,Butterflies often visit flowers.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,What do many butterflies drink from flowers?,Nectar,Sand,Plastic,Chalk,A,Many butterflies feed on flower nectar.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,Which part attracts many visiting butterflies?,Flowers,Broken glass,Bare concrete,Plastic bags,A,Flowers can attract butterflies.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,How should we watch a butterfly in the garden?,Quietly from a safe distance,Catch its wings,Throw soil,Chase it,A,Quiet observation avoids harming the butterfly.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,Why should flowers be protected?,They can feed pollinators,They are toys,They stop all insects,They are stones,A,Flowers provide resources for pollinators.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,What may a butterfly carry between flowers?,Pollen,Pebbles,Pencils,Plastic cups,A,Butterflies can move pollen between flowers.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,Which garden is friendliest to butterflies?,One with healthy flowering plants,One with no plants,One covered in litter,One with broken glass,A,Flowering plants provide food and habitat.,foundation,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,What should we avoid spraying near butterflies?,Unknown chemicals,Clean water on soil,Nothing at all,Observation notes,A,Unknown chemicals may harm butterflies and other organisms.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N05,Butterfly Garden,A butterfly moves from flower to flower. What is it helping with?,Pollination,Painting,Digging,Sweeping,A,Flower visits can help transfer pollen.,standard,GM-NUR-PROD-V1
GM-NUR,Nursery 1,N06,ReBottle Garden,What can we reuse to grow a small plant?,Clean bottle,Dirty tissue,Broken glass,Metal nail,A,A clean suitable bottle can be reused as a planter.,foundation,GM-NUR-B001
